Accesos por cada 100 hogares,Tasa de Crecimiento Penetracion,Ingresos (miles de pesos),Ingresos (miles USD),Tasa de Crecimiento Ingresos,Año-Trimestre-Provincia
54.57,0.0,2984054.21,368.53,0.0,2014-1-Buenos Aires
112.25,0.0,2984054.21,368.53,0.0,2014-1-Capital Federal
24.25,0.0,2984054.21,368.53,0.0,2014-1-Catamarca
20.72,0.0,2984054.21,368.53,0.0,2014-1-Chaco
41.24,0.0,2984054.21,368.53,0.0,2014-1-Chubut
22.32,0.0,2984054.21,368.53,0.0,2014-1-Corrientes
52.52,0.0,2984054.21,368.53,0.0,2014-1-Córdoba
34.37,0.0,2984054.21,368.53,0.0,2014-1-Entre Ríos
17.42,0.0,2984054.21,368.53,0.0,2014-1-Formosa
18.42,0.0,2984054.21,368.53,0.0,2014-1-Jujuy
48.43,0.0,2984054.21,368.53,0.0,2014-1-La Pampa
16.29,0.0,2984054.21,368.53,0.0,2014-1-La Rioja
31.91,0.0,2984054.21,368.53,0.0,2014-1-Mendoza
23.14,0.0,2984054.21,368.53,0.0,2014-1-Misiones
49.79,0.0,2984054.21,368.53,0.0,2014-1-Neuquén
44.91,0.0,2984054.21,368.53,0.0,2014-1-Río Negro
28.7,0.0,2984054.21,368.53,0.0,2014-1-Salta
27.6,0.0,2984054.21,368.53,0.0,2014-1-San Juan
9.35,0.0,2984054.21,368.53,0.0,2014-1-San Luis
28.94,0.0,2984054.21,368.53,0.0,2014-1-Santa Cruz
47.85,0.0,2984054.21,368.53,0.0,2014-1-Santa Fe
16.31,0.0,2984054.21,368.53,0.0,2014-1-Santiago Del Estero
63.97,0.0,2984054.21,368.53,0.0,2014-1-Tierra Del Fuego
33.42,0.0,2984054.21,368.53,0.0,2014-1-Tucumán
55.06,0.0,3270816.2,403.95,0.0,2014-2-Buenos Aires
113.14,0.0,3270816.2,403.95,0.0,2014-2-Capital Federal
24.7,0.0,3270816.2,403.95,0.0,2014-2-Catamarca
20.96,0.0,3270816.2,403.95,0.0,2014-2-Chaco
41.41,0.0,3270816.2,403.95,0.0,2014-2-Chubut
22.58,0.0,3270816.2,403.95,0.0,2014-2-Corrientes
53.45,0.0,3270816.2,403.95,0.0,2014-2-Córdoba
34.69,0.0,3270816.2,403.95,0.0,2014-2-Entre Ríos
17.54,0.0,3270816.2,403.95,0.0,2014-2-Formosa
18.71,0.0,3270816.2,403.95,0.0,2014-2-Jujuy
49.71,0.0,3270816.2,403.95,0.0,2014-2-La Pampa
16.5,0.0,3270816.2,403.95,0.0,2014-2-La Rioja
32.1,0.0,3270816.2,403.95,0.0,2014-2-Mendoza
23.37,0.0,3270816.2,403.95,0.0,2014-2-Misiones
